PARTY_ID,EXTERNAL_ID,STATUS_ID,CREATED_DATE,FIRST_NAME,MIDDLE_NAME,LAST_NAME,GENDER,BIRTH_DATE,LOCAL_STORE_PREFERENCE,ASSIGNED_STORE,GROUP_NAME,COMPANY_NAME,ACCOUNT_ID,RESPONSIBLE_FOR,TO_NAME,ATTN_NAME,ADDRESS1,ADDRESS2,CITY,POSTAL_CODE,POSTAL_CODE_EXT,COUNTRY_ID,STATE_PROVINCE_ID,POSTAL_ALLOW_SOLICITATION,PHONE,PHONE_ALLOW_SOLICITATION,EMAIL,EMAIL_ALLOW_SOLICITATION
67,01K0WQXDFNXZQQYFPYGFW8BRPX,PARTY_ENABLED,2024-10-12,Sully,,Bogie,,1990-07-01,003,003,,,065301689,dbogie1u,Doralin Bogie,Doralin Bogie,9717 Hallows Street,PO Box 60781,Manchester,03105,1576,US,NH,N,6035210206,N,dbogie1u@walmart.com,Y
2,01K0WQXD97H5370CNSSV79F1JY,PARTY_DISABLED,2022-01-12,Noreen,,Billows,,1985-08-09,001,001,,,,kbillows1,,,52543 Bowman Pass,PO Box 19219,Saint Louis,63116,9652,US,MO,N,3147627646,Y,kbillows1@behance.net,N
82,01K0WQXDHHSWE4J2QVYJ6RY66N,PARTY_DISABLED,2022-10-29,Meridel,,Doud,,1978-05-22,002,003,,,,bdoud29,Brenn Doud,Brenn Doud,99064 Bartelt Alley,16th Floor,Houston,77255,5665,US,TX,N,7137526676,N,bdoud29@cam.ac.uk,Y
57,01K0WQXDEST1B0C7GMF90G1GD1,PARTY_ENABLED,2022-10-12,Robinia,,Gammet,,1978-06-12,002,002,,,044203850,lgammet1k,,,332 Clarendon Drive,9th Floor,Albany,12247,8449,US,NY,Y,5185073103,Y,,
96,01K0WQXDK70SBGVD934J3V50CC,PARTY_ENABLED,2024-05-16,Prinz,,Hanmore,,1992-01-03,001,003,,,,nhanmore2n,,,3875 Hintze Crossing,2nd Floor,Bethlehem,18018,528,US,PA,N,2679887336,Y,shanmore2n@360.cn,N
60,01K0WQXDF1GEZVF5AA8EP01363,PARTY_ENABLED,2021-06-05,Raul,,Mosdall,M,2001-05-31,002,001,,,,jmosdall1n,,,891 Fisk Parkway,Room 1017,Lake Worth,33467,5027,US,FL,N,5616367969,Y,pmosdall1n@goo.ne.jp,Y
29,01K0WQXDCKYRX1R8H3ZS14X1KK,PARTY_ENABLED,2022-12-04,Andeee,,Surcombe,,1996-03-27,001,002,G3,,021411335,csurcombes,,,399 Carey Parkway,Suite 72,San Diego,92165,9485,US,CA,N,6198085766,N,,
48,01K0WQXDE31ZR0EYHF4P2998AS,PARTY_ENABLED,2023-11-20,Toiboid,,Kaye,F,2000-04-20,002,001,,Skipfire,,rkaye1b,Rosene Kaye,Rosene Kaye,0 Ohio Circle,Suite 60,Huntington,25721,660,US,WV,Y,3043698645,N,rkaye1b@hao123.com,N
94,01K0WQXDJZFAM16JKAN1G18HK8,PARTY_ENABLED,2023-09-28,Rodolph,,Muino,M,1983-11-28,003,002,,,,vmuino2l,,,2331 Mockingbird Hill,Room 264,Baton Rouge,70805,1642,US,LA,Y,2257102237,N,cmuino2l@discuz.net,N
9,01K0WQXDA5V7RS64ZSQ0DZ87YB,PARTY_DISABLED,2024-07-18,Tracey,,Neljes,F,1977-04-07,003,003,,,,gneljes8,,,40197 Surrey Circle,Apt 1444,Frederick,21705,4567,US,MD,N,2403513100,N,,
40,01K0WQXDDFABBGX9K5HZR13K03,PARTY_ENABLED,2022-02-21,Mord,,Hardwell,F,1997-06-06,001,003,,Feedfire,,whardwell13,Wallace Hardwell,Wallace Hardwell,1184 Orin Road,Suite 94,Young America,55551,1001,US,MN,Y,9522309204,Y,whardwell13@google.es,N
22,01K0WQXDC0ANW3PVTYBC2R67GK,PARTY_ENABLED,2022-05-20,Hakim,,Haggleton,U,1954-08-31,001,001,,Photobean,,hhaggletonl,,,1 Johnson Pass,Apt 1357,Des Moines,50310,4961,US,IA,Y,5155016215,Y,hhaggletonl@deliciousdays.com,N
72,01K0WQXDGAVK4N9SAEWW1EP11Z,PARTY_DISABLED,2023-08-10,Kristan,Selia,Vasilmanov,,1994-06-22,003,003,,Wordpedia,,svasilmanov1z,Selia Vasilmanov,Selia Vasilmanov,46 Spohn Center,Room 676,Port Saint Lucie,34985,4164,US,FL,Y,7728863077,Y,svasilmanov1z@salon.com,N
74,01K0WQXDGJJFFXDDXEKMEGG0F6,PARTY_DISABLED,2024-07-05,Noel,,Magister,,1991-06-19,003,001,,,,wmagister21,Winifred Magister,Winifred Magister,5151 Carpenter Trail,Suite 52,Gainesville,32627,2029,US,FL,Y,3524276463,N,wmagister21@slashdot.org,Y
30,01K0WQXDCNASWQ5DTT0FEFBCJ3,PARTY_ENABLED,2021-08-16,Theodor,,Bonsall,,1992-10-23,001,002,,,,abonsallt,,,0 Tomscot Street,Apt 892,Seattle,98109,1117,US,WA,N,2069379150,Y,cbonsallt@apple.com,Y
27,01K0WQXDCE9HEA5G74A9MB5MK1,PARTY_ENABLED,2023-05-31,Darrin,,Kesby,F,1955-12-10,002,002,,,,mkesbyq,Maria Kesby,Maria Kesby,49851 Judy Lane,Room 17,Sacramento,94237,8528,US,CA,Y,9164355073,N,mkesbyq@cbslocal.com,Y
18,01K0WQXDBJ2JF103TFXHZRX4FB,PARTY_DISABLED,2020-03-21,Inness,,Firebrace,M,1956-06-15,001,001,,,104900116,cfirebraceh,Cecily Firebrace,Cecily Firebrace,24 Meadow Vale Trail,Apt 545,York,17405,1590,US,PA,Y,7177837626,N,cfirebraceh@archive.org,Y
24,01K0WQXDC7JQ9QW4K4GRW2AH99,PARTY_ENABLED,2021-09-28,Elroy,,M'Chirrie,M,1965-04-08,001,002,,,,smchirrien,Steffane M'Chirrie,Steffane M'Chirrie,03673 Prairie Rose Pass,Apt 39,Anchorage,99522,6836,US,AK,N,9074633238,N,,
93,01K0WQXDJW1KH8B8M1RV0ZCNQ6,PARTY_DISABLED,2024-09-11,Hunter,,Coath,F,1950-03-21,001,001,,Livefish,,pcoath2k,,,21 Manitowish Lane,,Idaho Falls,83405,145,US,ID,Y,2082951562,N,,
